,Unnamed: 0,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
155,155,156.0,0.85371524,0.8458334,0.5866187,-0.3184044,0.49932656,-0.24180615
156,156,157.0,0.85371524,0.8458334,0.5868087,-0.317937,0.49994642,-0.24183817
157,157,158.0,0.85371524,0.8458334,0.586993,-0.31747064,0.5005571,-0.24186659
158,158,159.0,0.85371524,0.8458334,0.5871717,-0.31700537,0.50115883,-0.2418915
159,159,160.0,0.85371524,0.8458334,0.5873449,-0.3165412,0.5017516,-0.24191293
160,160,161.0,0.85371524,0.8458334,0.58751273,-0.31607816,0.50233567,-0.24193099
161,161,162.0,0.85371524,0.8458334,0.5876753,-0.31561622,0.50291103,-0.2419457
162,162,163.0,0.85371524,0.8458334,0.58783257,-0.31515545,0.503478,-0.2419571
163,163,164.0,0.85371524,0.8458334,0.58798474,-0.3146958,0.50403655,-0.2419653
164,164,165.0,0.85371524,0.8458334,0.5881319,-0.3142373,0.5045868,-0.24197039
165,165,166.0,0.85371524,0.8458334,0.5882741,-0.31378,0.505129,-0.24197236
166,166,167.0,0.85371524,0.8458334,0.58841145,-0.3133239,0.5056631,-0.2419713
167,167,168.0,0.85371524,0.8458334,0.588544,-0.31286892,0.5061893,-0.24196728
168,168,169.0,0.85371524,0.8458334,0.5886718,-0.31241518,0.5067078,-0.24196032
169,169,170.0,0.85371524,0.8458334,0.58879507,-0.31196257,0.5072185,-0.24195051
170,170,171.0,0.85371524,0.8458334,0.58891374,-0.31151122,0.5077217,-0.24193788
171,171,172.0,0.85371524,0.8458334,0.5890279,-0.31106108,0.50821745,-0.24192247
172,172,173.0,0.85371524,0.8458334,0.58913773,-0.31061214,0.50870574,-0.24190441
173,173,174.0,0.85371524,0.8458334,0.5892432,-0.31016448,0.50918686,-0.24188367
174,174,175.0,0.85371524,0.8458334,0.5893444,-0.30971798,0.5096608,-0.2418603
175,175,176.0,0.85371524,0.8458334,0.5894414,-0.3092727,0.51012766,-0.24183437
176,176,177.0,0.85371524,0.8458334,0.5895343,-0.30882877,0.51058763,-0.24180594
177,177,178.0,0.85371524,0.8458334,0.5896232,-0.30838597,0.5110407,-0.24177504
