,Unnamed: 0,copies,f1,f1_fid
71,71,24.75,0.8458334,0.83493984
72,72,24.75,0.8458334,0.83493984
73,73,24.75,0.8458334,0.83493984
74,74,24.75,0.8458334,0.83493984
75,75,24.75,0.8458334,0.83493984
76,76,24.75,0.8458334,0.83493984
77,77,24.75,0.8458334,0.83493984
78,78,24.75,0.8458334,0.83493984
79,79,24.75,0.8458334,0.83493984
80,80,24.75,0.8458334,0.83493984
81,81,24.75,0.8458334,0.83493984
82,82,24.75,0.8458334,0.83493984
83,83,24.75,0.8458334,0.83493984
84,84,24.75,0.8458334,0.83493984
85,85,24.75,0.8458334,0.83493984
86,86,24.75,0.8458334,0.83493984
87,87,24.75,0.8458334,0.83493984
88,88,24.75,0.8458334,0.84340554
89,89,24.75,0.8458334,0.84340554
90,90,24.75,0.8458334,0.84340554
91,91,24.75,0.8458334,0.84340554
92,92,24.75,0.8458334,0.84340554
93,93,24.75,0.8458334,0.84340554
94,94,24.75,0.8458334,0.84340554
95,95,24.75,0.8458334,0.84340554
96,96,24.75,0.8458334,0.84340554
97,97,24.75,0.8458334,0.84340554
98,98,24.75,0.8458334,0.84340554
99,99,100.0,0.8458334,0.84340554
100,100,100.0,0.8458334,0.84340554
101,101,100.0,0.8458334,0.84340554
102,102,100.0,0.8458334,0.84340554
103,103,100.0,0.8458334,0.84340554
104,104,100.0,0.8458334,0.84340554
105,105,100.0,0.8458334,0.84340554
106,106,100.0,0.8458334,0.84340554
107,107,100.0,0.8458334,0.84340554
108,108,100.0,0.8458334,0.84340554
109,109,100.0,0.8458334,0.84340554
110,110,100.0,0.8458334,0.84340554
111,111,100.0,0.8458334,0.84340554
112,112,100.0,0.8458334,0.84340554
113,113,100.0,0.8458334,0.84340554
114,114,100.0,0.8458334,0.84340554
115,115,100.0,0.8458334,0.84340554
116,116,100.0,0.8458334,0.84340554
117,117,100.0,0.8458334,0.84340554
118,118,100.0,0.8458334,0.84340554
119,119,100.0,0.8458334,0.84340554
120,120,100.0,0.8458334,0.84340554
121,121,100.0,0.8458334,0.84340554
122,122,100.0,0.8458334,0.84340554
123,123,100.0,0.8458334,0.84340554
124,124,100.0,0.8458334,0.84340554
125,125,100.0,0.8458334,0.84340554
126,126,100.0,0.8458334,0.84340554
127,127,100.0,0.8458334,0.84340554
128,128,100.0,0.8458334,0.84340554
129,129,100.0,0.8458334,0.84340554
130,130,100.0,0.8458334,0.84340554
131,131,100.0,0.8458334,0.84340554
132,132,100.0,0.8458334,0.84340554
133,133,100.0,0.8458334,0.84340554
134,134,100.0,0.8458334,0.84340554
135,135,100.0,0.8458334,0.84340554
136,136,100.0,0.8458334,0.84340554
137,137,100.0,0.8458334,0.84340554
138,138,100.0,0.8458334,0.84340554
139,139,100.0,0.8458334,0.84340554
140,140,100.0,0.8458334,0.851342
141,141,100.0,0.8458334,0.851342
142,142,100.0,0.8458334,0.851342
143,143,100.0,0.8458334,0.851342
144,144,100.0,0.8458334,0.851342
145,145,100.0,0.8458334,0.851342
146,146,100.0,0.8458334,0.851342
147,147,100.0,0.8458334,0.851342
148,148,100.0,0.8458334,0.851342
149,149,100.0,0.8458334,0.851342
150,150,100.0,0.8458334,0.851342
151,151,100.0,0.8458334,0.851342
152,152,100.0,0.8458334,0.851342
153,153,100.0,0.8458334,0.851342
154,154,100.0,0.8458334,0.851342
155,155,100.0,0.8458334,0.851342
156,156,100.0,0.8458334,0.851342
157,157,100.0,0.8458334,0.851342
158,158,100.0,0.8458334,0.851342
159,159,100.0,0.8458334,0.851342
160,160,100.0,0.8458334,0.851342
161,161,100.0,0.8458334,0.851342
162,162,100.0,0.8458334,0.851342
163,163,100.0,0.8458334,0.851342
164,164,100.0,0.8458334,0.851342
165,165,100.0,0.8458334,0.851342
166,166,100.0,0.8458334,0.851342
167,167,100.0,0.8458334,0.851342
168,168,100.0,0.8458334,0.851342
169,169,100.0,0.8458334,0.851342
170,170,100.0,0.8458334,0.851342
171,171,100.0,0.8458334,0.851342
172,172,100.0,0.8458334,0.851342
173,173,100.0,0.8458334,0.851342
174,174,100.0,0.8458334,0.851342
175,175,100.0,0.8458334,0.851342
176,176,100.0,0.8458334,0.851342
177,177,100.0,0.8458334,0.851342
178,178,100.0,0.8458334,0.851342
179,179,100.0,0.8458334,0.851342
180,180,100.0,0.8458334,0.851342
181,181,100.0,0.8458334,0.851342
182,182,100.0,0.8458334,0.851342
183,183,100.0,0.8458334,0.851342
184,184,100.0,0.8458334,0.851342
185,185,100.0,0.8458334,0.851342
186,186,100.0,0.8458334,0.851342
187,187,100.0,0.8458334,0.851342
188,188,100.0,0.8458334,0.851342
189,189,100.0,0.8458334,0.851342
190,190,100.0,0.8458334,0.851342
191,191,100.0,0.8458334,0.851342
192,192,100.0,0.8458334,0.851342
193,193,100.0,0.8458334,0.851342
194,194,100.0,0.8458334,0.851342
195,195,100.0,0.8458334,0.851342
196,196,100.0,0.8458334,0.851342
197,197,100.0,0.8458334,0.851342
198,198,100.0,0.8458334,0.851342
199,199,100.0,0.8458334,0.851342
200,200,100.0,0.8458334,0.851342
201,201,100.0,0.8458334,0.851342
202,202,100.0,0.8458334,0.851342
203,203,100.0,0.8458334,0.851342
204,204,100.0,0.8458334,0.851342
205,205,100.0,0.8458334,0.851342
206,206,100.0,0.8458334,0.851342
207,207,100.0,0.8458334,0.851342
208,208,100.0,0.8458334,0.851342
209,209,100.0,0.8458334,0.851342
210,210,100.0,0.8458334,0.851342
211,211,100.0,0.8458334,0.851342
212,212,100.0,0.8458334,0.851342
213,213,100.0,0.8458334,0.851342
214,214,100.0,0.8458334,0.851342
215,215,100.0,0.8458334,0.851342
216,216,100.0,0.8458334,0.851342
217,217,100.0,0.8458334,0.851342
218,218,100.0,0.8458334,0.851342
219,219,100.0,0.8458334,0.851342
220,220,100.0,0.8458334,0.851342
221,221,100.0,0.8458334,0.851342
222,222,100.0,0.8458334,0.851342
223,223,100.0,0.8458334,0.851342
224,224,100.0,0.8458334,0.851342
225,225,100.0,0.8458334,0.851342
226,226,100.0,0.8458334,0.851342
227,227,100.0,0.8458334,0.851342
228,228,100.0,0.8458334,0.851342
229,229,100.0,0.8458334,0.851342
230,230,100.0,0.8458334,0.851342
231,231,100.0,0.8458334,0.851342
232,232,100.0,0.8458334,0.851342
233,233,100.0,0.8458334,0.851342
234,234,100.0,0.8458334,0.851342
235,235,100.0,0.8458334,0.851342
236,236,100.0,0.8458334,0.851342
237,237,100.0,0.8458334,0.851342
238,238,100.0,0.8458334,0.851342
239,239,100.0,0.8458334,0.851342
240,240,100.0,0.8458334,0.851342
241,241,100.0,0.8458334,0.851342
242,242,100.0,0.8458334,0.851342
243,243,100.0,0.8458334,0.851342
