,Unnamed: 0.1,Unnamed: 0,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
45,45,45,46.0,0.8929294,0.8929294,0.17147164,-0.20177937,0.16978286,-0.19902816
46,46,46,47.0,0.8929294,0.8929294,0.1687776,-0.1988229,0.16718253,-0.19618654
47,47,47,48.0,0.8929294,0.8929294,0.16616185,-0.19594964,0.1646538,-0.19342144
48,48,48,49.0,0.8929294,0.8929294,0.1636211,-0.19315621,0.16219386,-0.19073005
49,49,49,50.0,0.8929294,0.8929294,0.16115215,-0.19043943,0.15980017,-0.1881096
50,50,50,51.0,0.8929294,0.8929294,0.15875211,-0.18779628,0.15747024,-0.18555751
51,51,51,52.0,0.8929294,0.8929294,0.15641813,-0.18522389,0.15520164,-0.18307133
52,52,52,53.0,0.8929294,0.8929294,0.15414758,-0.1827195,0.15299216,-0.18064865
53,53,53,54.0,0.8929294,0.8929294,0.15193786,-0.1802806,0.15083955,-0.17828724
54,54,54,55.0,0.8929294,0.8929294,0.14978662,-0.17790468,0.14874177,-0.17598489
55,55,55,56.0,0.8929294,0.8929294,0.14769158,-0.17558943,0.14669684,-0.17373955
56,56,56,57.0,0.8929294,0.8929294,0.14565054,-0.17333262,0.14470278,-0.17154928
57,57,57,58.0,0.8929294,0.8929294,0.14366145,-0.17113215,0.14275782,-0.16941212
58,58,58,59.0,0.8929294,0.8929294,0.14172237,-0.16898601,0.14086021,-0.16732632
59,59,59,60.0,0.8929294,0.8929294,0.13983141,-0.16689226,0.13900825,-0.16529012
60,60,60,61.0,0.8929294,0.8929294,0.13798681,-0.1648491,0.13720039,-0.16330187
61,61,61,62.0,0.8929294,0.8929294,0.13618687,-0.16285475,0.13543506,-0.16135998
62,62,62,63.0,0.8929294,0.8929294,0.13442998,-0.16090754,0.13371082,-0.1594629
63,63,63,64.0,0.8929294,0.8929294,0.1327146,-0.15900591,0.13202627,-0.1576092
64,64,64,65.0,0.8929294,0.8929294,0.13103926,-0.1571483,0.13038006,-0.15579745
65,65,65,66.0,0.8929294,0.8929294,0.1294026,-0.15533325,0.12877092,-0.15402634
66,66,66,67.0,0.8929294,0.8929294,0.12780324,-0.15355936,0.1271976,-0.15229456
67,67,67,68.0,0.8929294,0.8929294,0.12623991,-0.15182531,0.12565893,-0.15060084
68,68,68,69.0,0.8929294,0.8929294,0.12471142,-0.1501298,0.124153815,-0.14894402
69,69,69,70.0,0.8929294,0.8929294,0.123216555,-0.14847158,0.12268114,-0.14732298
70,70,70,71.0,0.8929294,0.8929294,0.12175427,-0.1468495,0.12123988,-0.14573656
71,71,71,72.0,0.8929294,0.8929294,0.12032344,-0.1452624,0.11982904,-0.14418373
72,72,72,73.0,0.8929294,0.8929294,0.11892309,-0.14370923,0.11844766,-0.14266351
73,73,73,74.0,0.8929294,0.8929294,0.117552206,-0.1421889,0.11709484,-0.14117484
74,74,74,75.0,0.8929294,0.8929294,0.1162099,-0.14070044,0.115769684,-0.13971683
75,75,75,76.0,0.8929294,0.8929294,0.11489525,-0.13924286,0.11447136,-0.13828859
76,76,76,77.0,0.8929294,0.8929294,0.113607384,-0.13781524,0.11319907,-0.13688919
77,77,77,78.0,0.919596,0.8929294,0.112345494,-0.13641669,0.11195201,-0.13551782
78,78,78,79.0,0.919596,0.8929294,0.111108795,-0.13504633,0.110729456,-0.13417366
79,79,79,80.0,0.919596,0.8929294,0.1098965,-0.13370338,0.10953067,-0.13285594
80,80,80,81.0,0.919596,0.919596,0.10870793,-0.132387,0.10835497,-0.13156392
81,81,81,82.0,0.919596,0.919596,0.10754235,-0.13109642,0.107201695,-0.13029683
82,82,82,83.0,0.919596,0.919596,0.1063991,-0.12983093,0.1060702,-0.129054
83,83,83,84.0,0.919596,0.919596,0.10527752,-0.12858981,0.10495987,-0.12783474
84,84,84,85.0,0.919596,0.919596,0.10417702,-0.12737235,0.10387011,-0.12663838
85,85,85,86.0,0.919596,0.919596,0.10309698,-0.12617792,0.10280035,-0.12546436
86,86,86,87.0,0.919596,0.919596,0.10203682,-0.12500587,0.10175004,-0.124312
87,87,87,88.0,0.919596,0.919596,0.10099602,-0.12385557,0.10071866,-0.12318073
88,88,88,89.0,0.919596,0.919596,0.099974,-0.12272644,0.09970568,-0.12207
89,89,89,90.0,0.919596,0.919596,0.09897028,-0.12161789,0.098710634,-0.12097925
90,90,90,91.0,0.919596,0.919596,0.09798437,-0.12052939,0.09773301,-0.11990795
91,91,91,92.0,0.919596,0.919596,0.09701576,-0.11946039,0.09677239,-0.118855596
92,92,92,93.0,0.919596,0.919596,0.09606403,-0.11841037,0.095828295,-0.11782168
93,93,93,94.0,0.919596,0.919596,0.09512873,-0.11737883,0.09490033,-0.11680575
94,94,94,95.0,0.919596,0.919596,0.09420941,-0.1163653,0.09398807,-0.115807295
95,95,95,96.0,0.919596,0.919596,0.09330566,-0.11536932,0.0930911,-0.11482592
96,96,96,97.0,0.919596,0.919596,0.092417106,-0.114390396,0.09220906,-0.11386116
97,97,97,98.0,0.919596,0.919596,0.09154334,-0.11342814,0.09134157,-0.112912595
98,98,98,99.0,0.919596,0.919596,0.09068402,-0.11248209,0.090488255,-0.11197984
99,99,99,100.0,0.919596,0.919596,0.08983876,-0.11155188,0.0896488,-0.11106249
