,copies,f1,f1_fid
184,100.0,0.7188851,0.67606974
185,100.0,0.7188851,0.67606974
186,100.0,0.7188851,0.67606974
187,100.0,0.7188851,0.67606974
188,100.0,0.7188851,0.67606974
189,100.0,0.7188851,0.67606974
190,100.0,0.7188851,0.67606974
191,100.0,0.7188851,0.67606974
192,100.0,0.7188851,0.67606974
193,100.0,0.7188851,0.67606974
194,100.0,0.7188851,0.67606974
195,100.0,0.7188851,0.67606974
196,100.0,0.7188851,0.67606974
197,100.0,0.7188851,0.67606974
198,100.0,0.72466743,0.68140304
199,100.0,0.72466743,0.68140304
200,100.0,0.72466743,0.68140304
201,100.0,0.72466743,0.68140304
202,100.0,0.72466743,0.68140304
203,100.0,0.72466743,0.68140304
204,100.0,0.72466743,0.68140304
205,100.0,0.72466743,0.68140304
206,100.0,0.72466743,0.6863805
207,100.0,0.72466743,0.6863805
208,100.0,0.72466743,0.6863805
209,100.0,0.72466743,0.6863805
210,100.0,0.72466743,0.6863805
211,100.0,0.72466743,0.6863805
212,100.0,0.72466743,0.6863805
213,100.0,0.72466743,0.6863805
214,100.0,0.72466743,0.6863805
215,100.0,0.72466743,0.6863805
216,100.0,0.72466743,0.6863805
217,100.0,0.72466743,0.6863805
218,100.0,0.72466743,0.6863805
219,100.0,0.72466743,0.6863805
220,100.0,0.72466743,0.6863805
221,100.0,0.72466743,0.6863805
222,100.0,0.72466743,0.6863805
223,100.0,0.72466743,0.6863805
224,100.0,0.72466743,0.6863805
225,100.0,0.72466743,0.6863805
226,100.0,0.72466743,0.6863805
227,100.0,0.72466743,0.6863805
228,100.0,0.72927964,0.6863805
229,100.0,0.7384337,0.6863805
230,100.0,0.7384337,0.6863805
231,100.0,0.7384337,0.6863805
232,100.0,0.7384337,0.6863805
233,100.0,0.7384337,0.6863805
234,100.0,0.7384337,0.6863805
235,100.0,0.7384337,0.6863805
236,100.0,0.7384337,0.6863805
237,100.0,0.7384337,0.6863805
238,100.0,0.7384337,0.6863805
239,100.0,0.7384337,0.6863805
240,100.0,0.7384337,0.6863805
241,100.0,0.7384337,0.6863805
242,100.0,0.7384337,0.6863805
243,100.0,0.7384337,0.6863805
244,100.0,0.7384337,0.6863805
245,100.0,0.7384337,0.6863805
246,100.0,0.7384337,0.6863805
247,100.0,0.7384337,0.6863805
248,100.0,0.7384337,0.6863805
249,100.0,0.7384337,0.6863805
250,100.0,0.7384337,0.6863805
251,100.0,0.7384337,0.6863805
252,100.0,0.7384337,0.6863805
253,100.0,0.7384337,0.6863805
254,100.0,0.7384337,0.6863805
255,100.0,0.7384337,0.6863805
256,100.0,0.7384337,0.6863805
257,100.0,0.7384337,0.6863805
258,100.0,0.7384337,0.6863805
259,100.0,0.7384337,0.6863805
260,100.0,0.7384337,0.6863805
261,100.0,0.7384337,0.6863805
262,100.0,0.7384337,0.6863805
263,100.0,0.7384337,0.6863805
264,100.0,0.7384337,0.6863805
265,100.0,0.7384337,0.6863805
266,100.0,0.7384337,0.6863805
267,100.0,0.7384337,0.6863805
268,100.0,0.7384337,0.6863805
269,100.0,0.7384337,0.6863805
270,100.0,0.7384337,0.6863805
271,100.0,0.7384337,0.6863805
272,100.0,0.7384337,0.6863805
273,100.0,0.7384337,0.6863805
274,100.0,0.7384337,0.6863805
275,100.0,0.7384337,0.6863805
276,100.0,0.7384337,0.6863805
277,100.0,0.7384337,0.6863805
278,100.0,0.7384337,0.6863805
279,100.0,0.7384337,0.6863805
280,100.0,0.7384337,0.6863805
281,100.0,0.7384337,0.6863805
282,100.0,0.7384337,0.6863805
283,100.0,0.7384337,0.6863805
284,100.0,0.7384337,0.69150865
285,100.0,0.7384337,0.69150865
286,100.0,0.7384337,0.69150865
287,100.0,0.7384337,0.69150865
288,100.0,0.7384337,0.69150865
289,100.0,0.7384337,0.68653136
290,100.0,0.7384337,0.68653136
291,100.0,0.7384337,0.68653136
292,100.0,0.7384337,0.68653136
293,100.0,0.7384337,0.68653136
294,100.0,0.7384337,0.68653136
295,100.0,0.7384337,0.68653136
296,100.0,0.7384337,0.68653136
297,100.0,0.7338216,0.68653136
298,100.0,0.7338216,0.68653136
299,100.0,0.7338216,0.68653136
300,100.0,0.7338216,0.68653136
301,100.0,0.7338216,0.68653136
302,100.0,0.7338216,0.68653136
303,100.0,0.7338216,0.68653136
304,100.0,0.7338216,0.68653136
305,100.0,0.7338216,0.68653136
306,100.0,0.7338216,0.68653136
307,100.0,0.7338216,0.68653136
308,100.0,0.7338216,0.68653136
309,100.0,0.7338216,0.68653136
310,100.0,0.7338216,0.68653136
311,100.0,0.7338216,0.68653136
312,100.0,0.7338216,0.68653136
313,100.0,0.7338216,0.68653136
314,100.0,0.7338216,0.68653136
315,100.0,0.7338216,0.68653136
316,100.0,0.7338216,0.68653136
317,100.0,0.7338216,0.68653136
318,100.0,0.7338216,0.68653136
319,100.0,0.7338216,0.68653136
320,100.0,0.7338216,0.68653136
321,100.0,0.7338216,0.68653136
322,100.0,0.7338216,0.68653136
323,100.0,0.7338216,0.68653136
324,100.0,0.7338216,0.68653136
