,copies,f1,f1_fid
324,100.0,1.0,1.0
325,100.0,1.0,1.0
326,100.0,1.0,1.0
327,100.0,1.0,1.0
328,100.0,1.0,1.0
329,100.0,1.0,1.0
330,100.0,1.0,1.0
331,100.0,1.0,1.0
332,100.0,1.0,1.0
333,100.0,1.0,1.0
334,100.0,1.0,1.0
335,100.0,1.0,1.0
336,100.0,1.0,1.0
337,100.0,1.0,1.0
338,100.0,1.0,1.0
339,100.0,1.0,1.0
340,100.0,1.0,1.0
341,100.0,1.0,1.0
342,100.0,1.0,1.0
343,100.0,1.0,1.0
344,100.0,1.0,1.0
345,100.0,1.0,1.0
346,100.0,1.0,1.0
347,100.0,1.0,1.0
348,100.0,1.0,1.0
349,100.0,1.0,1.0
350,100.0,1.0,1.0
351,100.0,1.0,1.0
352,100.0,1.0,1.0
353,100.0,1.0,1.0
354,100.0,1.0,1.0
355,100.0,1.0,1.0
356,100.0,1.0,1.0
357,100.0,1.0,1.0
358,100.0,1.0,1.0
359,100.0,1.0,1.0
360,100.0,1.0,1.0
361,100.0,1.0,1.0
362,100.0,1.0,1.0
363,100.0,1.0,1.0
364,100.0,1.0,1.0
365,100.0,1.0,1.0
366,100.0,1.0,1.0
367,100.0,1.0,1.0
368,100.0,1.0,1.0
369,100.0,1.0,1.0
370,100.0,1.0,1.0
371,100.0,1.0,1.0
372,100.0,1.0,1.0
373,100.0,1.0,1.0
374,100.0,1.0,1.0
375,100.0,1.0,1.0
376,100.0,1.0,1.0
377,100.0,1.0,1.0
378,100.0,1.0,1.0
379,100.0,1.0,1.0
380,100.0,1.0,1.0
381,100.0,1.0,1.0
382,100.0,1.0,1.0
383,100.0,1.0,1.0
384,100.0,1.0,1.0
385,100.0,1.0,1.0
386,100.0,1.0,1.0
387,100.0,1.0,1.0
388,100.0,1.0,1.0
389,100.0,1.0,1.0
390,100.0,1.0,1.0
391,100.0,1.0,1.0
392,100.0,1.0,1.0
393,100.0,1.0,1.0
394,100.0,1.0,1.0
395,100.0,1.0,1.0
396,100.0,1.0,1.0
397,100.0,1.0,1.0
398,100.0,1.0,1.0
399,100.0,1.0,1.0
