,Unnamed: 0,copies,f1,f1_fid
158,158,100.0,0.61883116,0.61883116
159,159,100.0,0.61883116,0.61883116
160,160,100.0,0.61883116,0.61883116
161,161,100.0,0.61883116,0.61883116
162,162,100.0,0.61883116,0.61883116
163,163,100.0,0.61883116,0.61883116
164,164,100.0,0.61883116,0.61883116
165,165,100.0,0.61883116,0.61883116
166,166,100.0,0.61883116,0.61883116
167,167,100.0,0.61883116,0.61883116
168,168,100.0,0.61883116,0.61883116
169,169,100.0,0.61883116,0.61883116
170,170,100.0,0.61883116,0.61883116
171,171,100.0,0.61883116,0.61883116
172,172,100.0,0.61883116,0.61883116
173,173,100.0,0.61883116,0.61883116
174,174,100.0,0.61883116,0.61883116
175,175,100.0,0.61883116,0.61883116
176,176,100.0,0.61883116,0.61883116
177,177,100.0,0.61883116,0.61883116
178,178,100.0,0.61883116,0.61883116
179,179,100.0,0.61883116,0.61883116
180,180,100.0,0.61883116,0.61883116
181,181,100.0,0.61883116,0.61883116
182,182,100.0,0.61883116,0.61883116
183,183,100.0,0.61883116,0.61883116
184,184,100.0,0.61883116,0.61883116
185,185,100.0,0.61883116,0.61883116
186,186,100.0,0.61883116,0.61883116
187,187,100.0,0.61883116,0.61883116
188,188,100.0,0.61883116,0.61883116
189,189,100.0,0.61883116,0.61883116
190,190,100.0,0.61883116,0.61883116
191,191,100.0,0.61883116,0.61883116
192,192,100.0,0.61883116,0.61883116
193,193,100.0,0.61883116,0.61883116
194,194,100.0,0.61883116,0.61883116
195,195,100.0,0.61883116,0.61883116
196,196,100.0,0.60772,0.61883116
197,197,100.0,0.60772,0.61883116
198,198,100.0,0.60772,0.61883116
199,199,100.0,0.60772,0.61883116
200,200,100.0,0.60772,0.61883116
201,201,100.0,0.60772,0.61883116
202,202,100.0,0.60772,0.61883116
203,203,100.0,0.60772,0.61883116
204,204,100.0,0.60772,0.61883116
205,205,100.0,0.60772,0.61883116
206,206,100.0,0.60772,0.61883116
207,207,100.0,0.60772,0.61883116
208,208,100.0,0.60772,0.61883116
209,209,100.0,0.60772,0.61883116
210,210,100.0,0.60772,0.61883116
211,211,100.0,0.60772,0.60772
212,212,100.0,0.60772,0.60772
213,213,100.0,0.60772,0.60772
214,214,100.0,0.60772,0.60772
215,215,100.0,0.60772,0.60772
216,216,100.0,0.60772,0.60772
